DIGARVID,Slope,Aspect,VRM,TWI
ba6ef596eb,10.89829,345.1583,0.005052,7.178119
cbac21279a,13.99595,330.9694,0.002579,4.019802
0dae53cdff,10.89829,345.1583,0.005052,7.178119
7a0bb68316,10.42548,23.44724,0.003026,8.101801
81bf3fa359,18.94906,346.9378,0.002136,2.519618
d633881ad5,18.94906,346.9378,0.002136,2.519618
09d059c107,15.56665,349.3437,0.003023,4.951775
863439b818,15.79745,8.227135,0.002006,7.210893
590e0faf12,21.28969,352.8438,0.002198,3.364517
4c2b0526af,21.28969,352.8438,0.002198,3.364517
be5603b087,18.67697,3.835118,0.002456,6.293508
9fd2a4bf1c,15.00444,7.719701,0.002062,6.311226
1ced4e3c3c,17.57557,7.058064,0.001676,7.346487
b297dbdc33,17.57557,7.058064,0.001676,7.346487
4439cecc86,16.07592,36.16048,0.003645,4.312334
c39dc15ee9,21.42818,349.8372,0.001762,2.963283
d0e6d1e77c,17.80273,6.229425,0.008949,6.879192
f7e52087b3,20.35953,1.025575,0.002039,1.917386
14f373032b,17.75042,13.67657,0.005179,2.797731
779f7a06f3,18.29957,2.559024,0.002896,2.547379
edd62c8405,15.03988,349.4384,0.002312,7.087794
4a4070b024,15.03988,349.4384,0.002312,7.087794
ca11d503b3,21.78552,15.55949,0.003755,2.721207
ec7b5a37a5,18.06711,27.95009,0.004524,2.978787
4e694aff0f,15.98882,9.371926,0.00094,6.67052
5e5574bc8d,10.11436,349.3601,0.0063,7.050206
31f94e190d,14.14133,350.9215,0.002133,6.429369
d81dbb6194,20.49872,19.96302,0.006963,6.444716
086bd349dc,23.29036,17.68712,0.002684,5.605323
aa8a35c6b3,23.29036,17.68712,0.002684,5.605323
a37998d87d,23.29036,17.68712,0.002684,5.605323
2c174a3895,21.79793,27.95519,0.005377,6.342714
6518334481,15.86832,352.3499,0.005201,6.509378
97eba3a969,21.18142,357.8275,0.003439,6.418635
341ec56eac,20.93185,35.37091,0.005075,4.787883
37ac5d7f5c,10.11683,26.72938,0.003529,6.834596
9b55f589ae,14.86767,31.99785,0.008714,6.329759
7a3ee3ccb3,19.20016,22.67953,0.0055,1.155286
e69248c57b,28.21709,327.5784,0.009338,0.859114
4f77989d50,21.29618,3.912811,0.008283,2.350663
19726c2b01,19.20016,22.67953,0.0055,1.155286
666f716f5d,18.06731,36.78036,0.002022,3.683563
de1680a090,18.06731,36.78036,0.002022,3.683563
920e2de250,14.09219,16.30935,0.004971,2.751161
f32d08b74a,14.09219,16.30935,0.004971,2.751161
34805e36ae,14.09219,16.30935,0.004971,2.751161
f38e4ab937,12.0268,0.263425,0.002552,3.528441
935bab16a7,10.42548,23.44724,0.003026,8.101801
7ad3f13ee4,14.70602,16.32073,0.002312,7.517556
9807b3df89,14.70602,16.32073,0.002312,7.517556
f451a92f84,14.70602,16.32073,0.002312,7.517556
d75e57ee63,17.57557,7.058064,0.001676,7.346487
c2f639d827,17.57557,7.058064,0.001676,7.346487
a79e4dfffd,17.57557,7.058064,0.001676,7.346487
16c13ceea3,17.57557,7.058064,0.001676,7.346487
8e01c23990,17.51187,356.2286,0.001787,7.38074
38aa0edbb5,17.51187,356.2286,0.001787,7.38074
03a2960af4,17.51187,356.2286,0.001787,7.38074
a3aabc1e0f,17.51187,356.2286,0.001787,7.38074
73e7074596,17.88343,6.170263,0.00138,5.825885
f6e252f613,17.88343,6.170263,0.00138,5.825885
0e52531dab,19.07109,14.3039,0.003459,6.186884
2e3b163edc,19.15431,359.2973,0.002384,5.724343
042ff33b61,19.15431,359.2973,0.002384,5.724343
26095d38ad,19.15431,359.2973,0.002384,5.724343
991bd179c0,19.15431,359.2973,0.002384,5.724343
509f0e90f5,14.54456,9.941059,0.001301,6.398674
84f18dbe5a,14.54456,9.941059,0.001301,6.398674
4e4cf0d416,15.22432,356.8652,0.001295,5.410224
04b154e2e7,15.48683,357.5122,0.003143,6.146695
df791de594,15.48683,357.5122,0.003143,6.146695
a97848b00f,15.22432,356.8652,0.001295,5.410224
f132a10dda,10.11683,26.72938,0.003529,6.834596
d3d7f1db8f,12.18629,23.61808,0.009556,7.792744
e8a41194ba,20.49872,19.96302,0.006963,6.444716
d82e4f4020,23.29036,17.68712,0.002684,5.605323
6c82d5fca4,19.86334,356.6197,0.003217,5.224828
bfdf9fe4cd,21.78552,15.55949,0.003755,2.721207
797b2e9592,21.78552,15.55949,0.003755,2.721207
e97457fac8,17.20078,348.3298,0.00421,4.491242
3c353fb214,18.04741,3.391575,0.001447,6.616234
255d97a284,19.3678,358.1763,0.003119,4.939871
be7974043e,24.54252,356.2511,0.003643,1.334167
afbd0bb7c6,24.54252,356.2511,0.003643,1.334167
944215308d,24.54252,356.2511,0.003643,1.334167
cf3b2aa62c,17.00444,351.2591,0.001533,7.319994
c8d03cb5f3,18.29957,2.559024,0.002896,2.547379
04956537de,20.9632,10.73589,0.001081,4.471274
2c8735c0fb,17.88343,6.170263,0.00138,5.825885
20b5d837da,17.88343,6.170263,0.00138,5.825885
0a1b06ba5e,19.61545,15.56109,0.001353,4.155107
7164ff77f6,14.09219,16.30935,0.004971,2.751161
62c6229084,15.04926,357.2757,0.005953,2.899742
f65a442d9f,12.0268,0.263425,0.002552,3.528441
51572f82df,19.64176,339.6892,0.001717,3.565337
2a593649fa,21.05019,329.466,0.002111,2.762933
578c0006d9,15.266,345.1185,0.001882,3.415241
c0f74ad8cf,15.266,345.1185,0.001882,3.415241
53b281b7f3,24.97608,339.8805,0.005705,2.090684
a6b37cafd8,23.45344,2.071769,0.002662,3.224521
6e56a88241,31.21925,347.2511,0.003405,2.352223
05d3369b30,31.21925,347.2511,0.003405,2.352223
7f4fd6966d,16.15961,351.4033,0.001734,2.756943
0faa1ca3ba,10.11683,26.72938,0.003529,6.834596
4159cb0f18,17.70739,355.5213,0.004319,6.523844
902d7db427,21.79793,27.95519,0.005377,6.342714
c2a59cec02,24.79666,30.0987,0.005582,3.301725
b5fc9de723,21.06035,21.60789,0.00331,4.884284
6ad3c78cee,21.06035,21.60789,0.00331,4.884284
a5af2294a8,20.44593,350.9937,0.003949,3.324546
018bfbe27d,16.07592,36.16048,0.003645,4.312334
47008dbb3f,18.06711,27.95009,0.004524,2.978787
58fca76fad,19.86334,356.6197,0.003217,5.224828
2e310183a3,19.86334,356.6197,0.003217,5.224828
be7cf86fbc,16.27789,356.9681,0.001093,7.226972
5d4e994a1d,15.11902,29.96704,0.004899,6.645868
51b14ee67e,17.78047,11.17681,0.001247,5.312683
bdd36bc792,20.57667,8.524006,0.001121,3.433268
64942047bd,20.31384,13.56372,0.000817,4.928587
61a5d29609,16.76527,14.1412,0.001218,2.731455
d404781b68,21.38729,38.44973,0.004153,4.522666
04ccca2e93,17.05578,18.8995,0.004849,7.522892
a53ff328f4,13.92636,31.4887,0.005831,4.592648
4d419d1210,21.1502,20.6633,0.0056,5.65162
fa8a420627,11.3786,21.46247,0.005146,7.629522
e4f9235561,15.56665,349.3437,0.003023,4.951775
51b2778652,17.74814,326.4839,0.005257,4.118935
bd626ce01e,16.4252,349.4127,0.002243,4.901266
ca3265bf0d,18.17561,340.4834,0.001196,3.952957
56c8672e2f,16.00846,350.4377,0.002128,4.534214
a085c26191,20.12371,7.963178,0.001142,5.702586
1866979162,16.4252,349.4127,0.002243,4.901266
254ee62ebb,16.4252,349.4127,0.002243,4.901266
0bd211fdf2,17.78047,11.17681,0.001247,5.312683
92c739cbff,17.78047,11.17681,0.001247,5.312683
fbd471c52f,17.51187,356.2286,0.001787,7.38074
7f13b39ec3,21.42818,349.8372,0.001762,2.963283
5055b35095,19.86334,356.6197,0.003217,5.224828
cf79b6a132,18.48928,42.91917,0.005045,1.647894
d62eae9b47,21.38729,38.44973,0.004153,4.522666
ce4ea11a27,24.97608,339.8805,0.005705,2.090684
175711b7d9,14.04446,17.52191,0.002279,3.43673
1ecec9d865,14.04446,17.52191,0.002279,3.43673
c202fcc5d7,24.37454,354.6427,0.00772,1.799526
ac68d2001b,17.74814,326.4839,0.005257,4.118935
de6a3d8392,19.61545,15.56109,0.001353,4.155107
0cb0d6cf8b,16.31845,3.637085,0.005313,3.237808
e901793b32,18.29957,2.559024,0.002896,2.547379
c38b6d6960,15.03988,349.4384,0.002312,7.087794
a1237d42cf,18.29957,2.559024,0.002896,2.547379
465bc111e3,15.27964,12.81417,0.00608,0.762227
3368bfafc7,13.02834,15.89518,0.008117,7.36768
53c0405915,15.86399,334.7824,0.003159,2.486779
9bacad1dbd,18.72696,334.7436,0.004384,4.411651
e7ec9070c2,14.70602,16.32073,0.002312,7.517556
8fd589a02e,20.9632,10.73589,0.001081,4.471274
c72c950d5a,20.9632,10.73589,0.001081,4.471274
0719a24b00,17.51187,356.2286,0.001787,7.38074
2c564c0a30,15.00444,7.719701,0.002062,6.311226
b6facb94b2,23.4717,354.1205,0.001448,1.491079
57f8a15f7e,17.58503,342.225,0.000858,3.540633
bcf9366c60,17.62213,31.52203,0.001212,4.113752
f7c03205ce,21.18142,357.8275,0.003439,6.418635
82fad4ffc8,17.70739,355.5213,0.004319,6.523844
a1161b76d8,17.70739,355.5213,0.004319,6.523844
057c46feb6,22.13967,3.593333,0.002632,6.610405
a6aec71ec7,23.29036,17.68712,0.002684,5.605323
1280c9b1c0,13.29328,355.0411,0.00345,5.478951
2044edc1bc,17.51187,356.2286,0.001787,7.38074
60f210a4fe,16.27789,356.9681,0.001093,7.226972
0763cf4399,18.00318,8.805182,0.001521,4.381526
d0d8e0e7f4,23.73468,333.1706,0.004821,4.62563
d66bbcada9,23.78988,4.101842,0.00825,6.609293
3b6d7eb49e,20.81325,359.7427,0.00844,6.823157
ff9919364e,17.74814,326.4839,0.005257,4.118935
bc92277c11,16.15698,355.261,0.010066,7.113549
9d049694e5,11.90219,356.1718,0.003192,7.207085
f34356f1e7,13.99595,330.9694,0.002579,4.019802
ad6a0662a4,15.79745,8.227135,0.002006,7.210893
bcd0722e70,16.64868,22.98598,0.002237,4.58424
a30a84dda3,10.42548,23.44724,0.003026,8.101801
9d7ea54c0b,15.79745,8.227135,0.002006,7.210893
d55f495f9b,14.70602,16.32073,0.002312,7.517556
9affc393dc,15.00444,7.719701,0.002062,6.311226
5f14aeea29,21.28969,352.8438,0.002198,3.364517
64389034ef,21.28969,352.8438,0.002198,3.364517
5aaa9d84e0,21.77716,348.5438,0.000864,3.803641
a5754775c8,17.20078,348.3298,0.00421,4.491242
bcfb924f2a,19.86334,356.6197,0.003217,5.224828
552ff33ca4,23.53534,11.57918,0.0037,5.337591
20d2c8bef8,20.93185,35.37091,0.005075,4.787883
8d12f118cc,21.06035,21.60789,0.00331,4.884284
59a8fafbbc,10.11683,26.72938,0.003529,6.834596
b94cb7fcfe,14.09219,16.30935,0.004971,2.751161
647414fb70,16.31682,8.171617,0.001175,3.933243
eb8aba0ebc,17.7263,354.5185,0.004274,5.869864
a1c7c09e0e,17.7263,354.5185,0.004274,5.869864
8de9dd1064,21.42818,349.8372,0.001762,2.963283
3dcdfaa82a,19.61092,2.019224,0.004243,4.502829
3452eb018c,13.29328,355.0411,0.00345,5.478951
1741af9831,17.40348,20.6086,0.004687,7.300653
42ff930110,17.20078,348.3298,0.00421,4.491242
a00e807021,24.79666,30.0987,0.005582,3.301725
13dcb4504e,11.78641,17.12141,0.006662,7.941399
987e381039,17.7263,354.5185,0.004274,5.869864
8b894fc07d,13.29328,355.0411,0.00345,5.478951
156eb0f906,17.40348,20.6086,0.004687,7.300653
52ac9080dd,17.20078,348.3298,0.00421,4.491242
d932549938,19.61092,2.019224,0.004243,4.502829
e371c28ae4,21.42818,349.8372,0.001762,2.963283
bbe01e1e39,24.79666,30.0987,0.005582,3.301725
e007f42ad1,11.78641,17.12141,0.006662,7.941399
c870187bf4,31.41354,29.17992,0.002462,1.873885
0249d696fa,27.2704,12.89562,0.00302,3.143207
6608b95336,28.25849,37.91352,0.006035,4.381826
f4edef1287,28.25849,37.91352,0.006035,4.381826
0199758253,28.25849,37.91352,0.006035,4.381826
3ab9808e15,27.52372,23.76349,0.00737,5.017924
e6469593a0,30.97093,46.91726,0.004954,4.363064
2f473a6ac8,29.27529,46.84949,0.002482,0.737461
f6816970b4,30.97093,46.91726,0.004954,4.363064
fb20773ddb,30.97093,46.91726,0.004954,4.363064
cd0b2fd249,26.58404,22.49271,0.008655,5.054673
9d28afdc48,27.52372,23.76349,0.00737,5.017924
479af8afc3,31.18726,44.32069,0.003305,4.254678
c8a3d855bf,26.58404,22.49271,0.008655,5.054673
e833e2be28,26.58404,22.49271,0.008655,5.054673
cd232028ea,26.58404,22.49271,0.008655,5.054673
e6ce087c77,26.58404,22.49271,0.008655,5.054673
c53d60956c,26.58404,22.49271,0.008655,5.054673
38edb5e7dc,27.52372,23.76349,0.00737,5.017924
3558953ed6,27.52372,23.76349,0.00737,5.017924
104ba91d81,26.58404,22.49271,0.008655,5.054673
6d840599a8,26.58404,22.49271,0.008655,5.054673
4a53bfd485,26.58404,22.49271,0.008655,5.054673
5dd7012f7c,27.52372,23.76349,0.00737,5.017924
e225ccd962,27.52372,23.76349,0.00737,5.017924
895565c43f,27.52372,23.76349,0.00737,5.017924
46cde0a404,26.58404,22.49271,0.008655,5.054673
69640cc175,26.58404,22.49271,0.008655,5.054673
d515f1c3d9,27.52372,23.76349,0.00737,5.017924
f6958ae296,27.52372,23.76349,0.00737,5.017924
43728d3e7e,27.52372,23.76349,0.00737,5.017924
167ecf921a,27.52372,23.76349,0.00737,5.017924
b4aedbd547,27.52372,23.76349,0.00737,5.017924
5691bbfad4,27.52372,23.76349,0.00737,5.017924
796393f105,27.52372,23.76349,0.00737,5.017924
ae585c2894,27.52372,23.76349,0.00737,5.017924
71de579400,27.52372,23.76349,0.00737,5.017924
fc2bbb7392,27.52372,23.76349,0.00737,5.017924
bcca1a687f,26.58404,22.49271,0.008655,5.054673
07ef52ff49,27.52372,23.76349,0.00737,5.017924
d798c5252c,27.52372,23.76349,0.00737,5.017924
9d6345bc2a,24.45331,29.97872,0.00382,1.009655
3b3462dd58,24.45331,29.97872,0.00382,1.009655
3e9c9f4df0,25.7058,38.57675,0.001851,3.600321
ef7af06eaf,27.94633,37.2041,0.000693,1.191722
9de46f1396,25.44448,51.47583,0.001567,8.252863
3f03494b86,24.20494,46.12347,0.00177,8.246709
3febcde4f7,25.44448,51.47583,0.001567,8.252863
33c69f21da,27.70826,50.94599,0.002275,8.484192
b021dc4b5a,27.70826,50.94599,0.002275,8.484192
dd4014c1ac,27.70826,50.94599,0.002275,8.484192
6052a7eaab,27.70826,50.94599,0.002275,8.484192
111c9a343f,27.70826,50.94599,0.002275,8.484192
a648b14397,27.70826,50.94599,0.002275,8.484192
79ffaaef53,27.70826,50.94599,0.002275,8.484192
456786efca,27.70826,50.94599,0.002275,8.484192
4d98dad193,27.70826,50.94599,0.002275,8.484192
aea44260c8,27.70826,50.94599,0.002275,8.484192
cc8c32bfcd,24.4869,31.98826,0.005653,4.388286
5aac6bfc2c,27.00714,34.43216,0.000896,1.127177
da59165543,27.82799,42.81537,0.002718,5.153769
c2f2d73867,25.7058,38.57675,0.001851,3.600321
7c5fde05f8,27.8512,30.54485,0.001957,2.501044
b6e18cf4ce,28.16527,42.04987,0.001017,1.647125
2b450e531b,27.94633,37.2041,0.000693,1.191722
4d41532d96,25.7058,38.57675,0.001851,3.600321
ff00a8f57b,25.7058,38.57675,0.001851,3.600321
b516a40a5e,24.45331,29.97872,0.00382,1.009655
c6791bfe05,29.27529,46.84949,0.002482,0.737461
462affed90,27.00714,34.43216,0.000896,1.127177
8efc995145,29.89902,51.47029,0.001672,5.823816
e8c2b9aaad,30.12756,44.29185,0.002409,2.446793
9063fba41b,17.59656,41.29424,0.002261,2.201127
f22530e715,19.06367,10.2483,0.004105,0.855312
1bee3b62d8,18.62985,50.88689,0.003313,3.16602
5f55544d06,20.25674,60.34164,0.001513,1.965483
1cb649ecf1,21.72141,20.18503,0.003162,7.57484
d37bee4151,22.70153,22.70619,0.001863,4.235563
c9168bef6b,21.72141,20.18503,0.003162,7.57484
4c5c7311c7,17.90056,24.55437,0.001918,7.696998
e5d1c88c38,21.72141,20.18503,0.003162,7.57484
43b2c6c691,10.86961,43.64988,0.007897,6.53113
dbc5b5bf63,10.86961,43.64988,0.007897,6.53113
619603a8d6,15.148,27.69734,0.000616,3.700454
dfe05a61cb,15.98956,33.75727,0.000819,3.397718
53de62b8eb,18.49527,7.370758,0.009281,1.624081
22f2004661,21.60026,342.6578,0.003923,4.275073
d401f0e14e,12.55916,30.02232,0.006692,2.939954
e59d1f9b9d,14.67116,353.7347,0.00495,1.964467
b118a89f7e,21.60026,342.6578,0.003923,4.275073
e0fbea92d8,14.67116,353.7347,0.00495,1.964467
fdf849c049,13.19014,36.80143,0.002214,4.389092
b1cf533230,18.49527,7.370758,0.009281,1.624081
e8b0a0afd5,18.71086,41.5277,0.004889,1.784682
2b74771eca,18.71086,41.5277,0.004889,1.784682
1ee59daf93,18.71086,41.5277,0.004889,1.784682
9e2510bb4f,17.20523,28.53847,0.000843,8.49648
4e9bf30f63,18.39071,30.17846,0.000791,7.230866
999e45af1f,23.39505,25.27343,0.004193,1.633764
5cb575024d,23.39505,25.27343,0.004193,1.633764
4d8d44abe2,17.73059,36.65429,0.000936,8.374082
ccb30b3d51,26.10624,42.91145,0.001477,3.467417
b183a5c268,20.25674,60.34164,0.001513,1.965483
714703cd3a,20.70183,28.81466,0.00883,4.239527
cf87b7a255,17.2521,53.01343,0.005959,4.240797
a3da669361,17.2521,53.01343,0.005959,4.240797
947ee4fe20,18.62985,50.88689,0.003313,3.16602
88208ac438,18.59599,51.22654,0.002011,2.245287
55b3f1c87b,18.59599,51.22654,0.002011,2.245287
458c320571,18.59599,51.22654,0.002011,2.245287
f3a5de7a4c,18.59599,51.22654,0.002011,2.245287
b7673331b9,18.23239,31.46848,0.006738,5.197602
c617e2d736,18.23239,31.46848,0.006738,5.197602
3ec4e64910,17.2521,53.01343,0.005959,4.240797
30a6447247,18.51127,31.37423,0.00106,2.572622
99d7f3589b,18.51127,31.37423,0.00106,2.572622
43e13ea012,18.51127,31.37423,0.00106,2.572622
70b3f47967,17.93342,27.39693,0.002429,2.929754
5b816088f3,17.93342,27.39693,0.002429,2.929754
292d245639,17.93342,27.39693,0.002429,2.929754
fd874ed6cf,17.44962,15.34726,0.001441,6.246669
12205ab250,21.20834,31.4468,0.003853,7.469245
648169e49a,13.30417,10.81571,0.005212,5.267094
b0a8cf1f3a,17.59656,41.29424,0.002261,2.201127
2fe9095f55,16.25476,29.81621,0.00372,4.683205
a519a2d1c9,20.70183,28.81466,0.00883,4.239527
953541f2a7,23.37959,11.32388,0.002879,3.001807
e2c960267a,34.67926,40.83484,0.004364,1.20038
423f52bc76,28.696,33.96922,0.000854,2.265084
28692e3888,27.52372,23.76349,0.00737,5.017924
bc2573261f,26.58404,22.49271,0.008655,5.054673
608952fa45,26.58404,22.49271,0.008655,5.054673
d652a56366,23.37959,11.32388,0.002879,3.001807
bf8cb0d484,27.87584,5.474564,0.003191,3.643802
6899fc9196,28.16527,42.04987,0.001017,1.647125
31fd02b9c5,27.94633,37.2041,0.000693,1.191722
678ae8a208,13.03033,122.3042,0.000018,4.763404
d34de314b1,12.9737,122.6323,0.000017,4.832318
400ebd0176,13.66737,22.24972,0.005689,7.42146
772510169d,24.24831,34.66567,0.007769,6.324363
dea4b276c1,22.83192,32.71434,0.000744,2.841052
50e4e704cd,13.66737,22.24972,0.005689,7.42146
63224029e6,20.55632,27.0993,0.001457,5.845056
5971153db3,22.83192,32.71434,0.000744,2.841052
80aa8de76e,13.66737,22.24972,0.005689,7.42146
82479c19df,6.034524,52.36921,0.002815,9.178986
2781a5b355,10.42491,46.18026,0.001651,8.198589
c877c74355,10.42491,46.18026,0.001651,8.198589
0411b147fe,11.38023,29.11919,0.001601,7.89319
d33d80a935,12.43492,36.68476,0.00125,8.371
c2ad625e1b,10.91805,29.18514,0.005716,8.528525
628785bd45,10.91805,29.18514,0.005716,8.528525
77d66b2325,10.91805,29.18514,0.005716,8.528525
49d5fa0f15,10.91805,29.18514,0.005716,8.528525
d5e40236ac,10.91805,29.18514,0.005716,8.528525
48991a91a9,10.91805,29.18514,0.005716,8.528525
dd2f2b87d6,10.91805,29.18514,0.005716,8.528525
c6aee93507,10.91805,29.18514,0.005716,8.528525
f7e361ae15,10.91805,29.18514,0.005716,8.528525
20c7560078,10.91805,29.18514,0.005716,8.528525
1d4e63cb49,10.91805,29.18514,0.005716,8.528525
e1ea24513e,10.91805,29.18514,0.005716,8.528525
4b8aeba068,10.91805,29.18514,0.005716,8.528525
fa8bbff9cd,20.59494,57.25638,0.0053,5.948453
2f9aa7b55e,20.59494,57.25638,0.0053,5.948453
1a06e7c27a,20.59494,57.25638,0.0053,5.948453
6b1808d2b6,10.91805,29.18514,0.005716,8.528525
efb40ae624,10.91805,29.18514,0.005716,8.528525
d97659cbc1,20.59494,57.25638,0.0053,5.948453
dbbcc5950b,20.59494,57.25638,0.0053,5.948453
9d38f8935a,20.59494,57.25638,0.0053,5.948453
ee9d88cd6e,20.59494,57.25638,0.0053,5.948453
563672a127,20.59494,57.25638,0.0053,5.948453
b340895c21,12.43492,36.68476,0.00125,8.371
e851a1f1dd,16.8152,10.76378,0.005768,7.85292
d314728c38,16.8152,10.76378,0.005768,7.85292
b730110df2,16.8152,10.76378,0.005768,7.85292
e92996865b,12.97782,60.27124,0.002547,4.389605
d06b913b99,12.97782,60.27124,0.002547,4.389605
fa365caf51,11.2872,36.74051,0.00173,4.369353
6bd4399e13,11.56965,359.67,0.000353,6.151375
6b155a26cf,11.90904,355.2164,0.000537,5.728573
80460eef69,11.90904,355.2164,0.000537,5.728573
372544b724,12.49604,348.6627,0.001107,4.409568
fce39a8288,11.05226,349.1325,0.00001,3.967583
0bbb3d8d52,10.73251,351.0515,0.000007,4.137215
85787d2671,11.91625,62.29197,0.005188,8.498213
130ee3a6f4,15.74673,64.06676,0.000724,8.095432
f3d085e7d1,14.83016,77.43845,0.000532,6.567391
33f667f464,15.06063,67.98143,0.001633,4.174903
73f1f1f281,15.06063,67.98143,0.001633,4.174903
3bbfaad3c3,15.06063,67.98143,0.001633,4.174903
c498d87fe5,41.15841,59.37544,0.000481,3.469915
57b54ce396,40.93751,57.89468,0.001475,3.779868
e146aacb69,38.80883,46.44284,0.001524,5.524896
f36923d7a8,38.80883,46.44284,0.001524,5.524896
739e24104c,8.490101,61.20985,0.01118,7.598146
